"name","alias"
TURKEY,null
THAILAND,null
ENGLAND,null
GERMANY,null
NETHERLANDS,null
JAPAN,null
CHILE,null
AUSTRALIA,null
BRAZIL,null
URUGUAY,null
ROMANIA,null
ARGENTINA,null
DENMARK,null
SENEGAL,null
COLOMBIA,null
FRANCE,null
SPAIN,null
NIGERIA,null
IRAN,null
ITALY,null
PANAMA,null
BOLIVIA,null
PORTUGAL,null
GHANA,null
IRAQ,null
ISRAEL,null
SAUDI ARABIA,null
AZERBAIJAN,null
HUNGARY,null
SCOTLAND,null
BELGIUM,null
AUSTRIA,null
RUSSIA,null
UZBEKISTAN,null
CROATIA,null
MALAYSIA,null
SWITZERLAND,null
LUXEMBOURG,null
LITHUANIA,null
UKRAINE,null
UNITED ARAB EMIRATES,null
GEORGIA,null
MALTA,null
PERU,null
MOROCCO,null
GREECE,null
CAMEROON,null
POLAND,null
ALBANIA,null
GAMBIA,null
VENEZUELA,null
SLOVENIA,null
HONDURAS,null
FAROE ISLANDS,null
SLOVAKIA,null
BULGARIA,null
QATAR,null
SWEDEN,null
NORTHERN IRELAND,null
PARAGUAY,null
MONTENEGRO,null
GIBRALTAR,null
ICELAND,null
CZECH REPUBLIC,null
WALES,null
ARMENIA,null
PHILIPPINES,null
NEW ZEALAND,null
FINLAND,null
MALI,null
HAITI,null
COSTA RICA,null
BURKINA FASO,null
SERBIA,null
NORTH MACEDONIA,null
SOUTH AFRICA,null
CYPRUS,null
KAZAKHSTAN,null
EGYPT,null
ZAMBIA,null
ANGOLA,null
CANADA,null
LIECHTENSTEIN,null
TOGO,null
SAN MARINO,null
LATVIA,null
BURUNDI,null
NORWAY,null
BELARUS,null
ECUADOR,null
GABON,null
ALGERIA,null
NIGER,null
COMOROS,null
CONGO,null
TUNISIA,null
JAMAICA,null
ANDORRA,null
SIERRA LEONE,null
SINGAPORE,null
GUINEA,null
SYRIA,null
ESTONIA,null
EQUATORIAL GUINEA,null
MOLDOVA,null
KOSOVO,null
MEXICO,null
MYANMAR,null
KENYA,null
MAURITANIA,null
GUYANA,null
ZIMBABWE,null
CHINESE TAIPEI,null
DOMINICAN REPUBLIC,null
BENIN,null
MOZAMBIQUE,null
UGANDA,null
REPUBLIC OF KOREA,KOREA REPUBLIC
USA,UNITED STATES
CHINA,CHINA PR
CONGO DR,DR CONGO
CABO VERDE,CAPE VERDE
CURAÇAO,CURACAO
GUINEA-BISSAU,GUINEA BISSAU
MADAGASCAR,null
KOREA DPR,null
BERMUDA,null
OMAN,null
GUATEMALA,null
AFGHANISTAN,null
CUBA,null
NAMIBIA,null
VIETNAM,null
HONG KONG,null
INDONESIA,null
EL SALVADOR,null
SOUTH SUDAN,null
LIBYA,null
BAHRAIN,null
YEMEN,null
CENTRAL AFRICAN REP.,null
ARUBA,null
TANZANIA,null
JORDAN,null
BRUNEI DARUSSALAM,null
LIBERIA,null
MONTSERRAT,null
CHAD,null
RWANDA,null
LEBANON,null
NEW CALEDONIA,null
GRENADA,null
TAJIKISTAN,null
FIJI,null
INDIA,null
SAO TOME AND PRINCIPE,null
PAPUA NEW GUINEA,null
KUWAIT,null
LAOS,null
PALESTINE,null
BANGLADESH,null
MACAU,null
TURKMENISTAN,null
SURINAME,null
CÔTE D'IVOIRE,IVORY COAST
IRELAND,REPUBLIC OF IRELAND
ETHIOPIA,null
ERITREA,null
BOSNIA AND HERZEGOVINA,BOSNIA & HERZEGOVINA
GUAM,null
TRINIDAD AND TOBAGO,TRINIDAD & TOBAGO
SAINT KITTS AND NEVIS,ST KITTS NEVIS
ANTIGUA AND BARBUDA,ANTIGUA & BARBUDA
BARBADOS,null
PUERTO RICO,null
ST LUCIA,null
MALAWI,null
BELIZE,null
SUDAN,null
KYRGYZSTAN,null
MAURITIUS,null
VANUATU,null
