name,nation,details,alias,def_country,activeplatforms
AL DUHAIL SC,false,"{""teamAbbr""=>""DSC"", ""teamCity""=>""Doha"", ""teamName""=>""Al Duhail SC"", ""teamFounded""=>""2010"", ""teamStadium""=>""Abdullah bin Khalifa Stadium"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1610""}",AL DUHAIL,QATAR,true,"[""PES21""]"
POHANG STEELERS,false,"{""teamAbbr""=>""POH"", ""teamCity""=>""Pohang"", ""teamName""=>""Pohang Steelers"", ""teamFounded""=>""1973"", ""teamStadium""=>""Steelyard"", ""teamCapacity""=>20000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1059""}",POHANG STEELERS,REPUBLIC OF KOREA,true,"[""FIFA23""]"
SUKHOTHAI FC,false,"{""teamAbbr""=>""SKT"", ""teamCity""=>""Sukhothai"", ""teamName""=>""Sukhothai FC"", ""teamFounded""=>""2009"", ""teamStadium""=>""Thung Thalay Luang Stadium"", ""teamCapacity""=>8000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=4443""}","SUKHOTHAI FC, SUKHOTHAI",THAILAND,true,"[""PES21""]"
TRAT FC,false,"{""teamAbbr""=>""TFC"", ""teamCity""=>""Trat"", ""teamName""=>""Trat FC"", ""teamFounded""=>""2012"", ""teamStadium""=>""Trat Province Stadium"", ""teamCapacity""=>6000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=5090""}","TRAT FC, TRAT",THAILAND,true,"[""PES21""]"
STADE RENNAIS,false,"{""teamAbbr""=>""REN"", ""teamCity""=>""Rennes"", ""teamName""=>""Stade Rennais"", ""teamFounded""=>""1901"", ""teamStadium""=>""Roazhon Park"", ""teamCapacity""=>31127, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=340""}",RENNES,FRANCE,true,"[""PES21"",""FIFA23""]"
GORNIK ZABRZE,false,"{""teamAbbr""=>""GZ"", ""teamCity""=>""Zabrze"", ""teamName""=>""Gornik Zabrze"", ""teamFounded""=>""1948"", ""teamStadium""=>""Ernest Pohl"", ""teamCapacity""=>31000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1075""}",GORNIK ZABRZE,POLAND,true,"[""FIFA23""]"
NOTTINGHAM FOREST,false,"{""teamAbbr""=>""NTF"", ""teamCity""=>""Nottingham"", ""teamName""=>""Nottingham Forest"", ""teamFounded""=>""1865"", ""teamStadium""=>""The City Ground"", ""teamCapacity""=>31250, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=55""}","NOTTINGHAM FOREST, NOTTINGHAM RW",ENGLAND,true,"[""PES21"",""FIFA23""]"
OGC NICE,false,"{""teamAbbr""=>""NIC"", ""teamCity""=>""Nice"", ""teamName""=>""OGC Nice"", ""teamFounded""=>""1904"", ""teamStadium""=>""Allianz Riviera"", ""teamCapacity""=>35624, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=336""}",NICE,FRANCE,true,"[""PES21"",""FIFA23""]"
FC NANTES,false,"{""teamAbbr""=>""FCN"", ""teamCity""=>""Nantes"", ""teamName""=>""FC Nantes"", ""teamFounded""=>""1943"", ""teamStadium""=>""La Beaujoire"", ""teamCapacity""=>38128, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=335""}",NANTES,FRANCE,true,"[""PES21"",""FIFA23""]"
RB BRAGANTINO,false,"{""teamAbbr""=>""RBB"", ""teamCity""=>""Bragança Paulista"", ""teamName""=>""RB Bragantino"", ""teamFounded""=>""1928"", ""teamStadium""=>""Nabi Abi Chedid"", ""teamCapacity""=>21209, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1447""}",RED BULL BRAGANTINO,BRAZIL,true,"[""PES21"",""FIFA23""]"
SÃO PAULO FC,false,"{""teamAbbr""=>""SPO"", ""teamCity""=>""São Paulo"", ""teamName""=>""São Paulo FC"", ""teamFounded""=>""1935"", ""teamStadium""=>""Morumbi"", ""teamCapacity""=>67052, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=306""}",SÃO PAULO,BRAZIL,true,"[""PES21"",""FIFA23""]"
FLUMINENSE,false,"{""teamAbbr""=>""FLU"", ""teamCity""=>""Rio de Janeiro"", ""teamName""=>""Fluminense"", ""teamFounded""=>""1902"", ""teamStadium""=>""Maracanã"", ""teamCapacity""=>78838, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=295""}",FLUMINENSE,BRAZIL,true,"[""PES21"",""FIFA23""]"
ATLÉTICO GOIANIENSE,false,"{""teamAbbr""=>""ACG"", ""teamCity""=>""Goiânia"", ""teamName""=>""Atlético Goianiense"", ""teamFounded""=>""1937"", ""teamStadium""=>""Estádio Antônio Accioly"", ""teamCapacity""=>12500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1581""}",ATLÉTICO GO,BRAZIL,true,"[""PES21"",""FIFA23""]"
AS SAINT-ÉTIENNE,false,"{""teamAbbr""=>""STE"", ""teamCity""=>""Saint-Etienne"", ""teamName""=>""AS Saint-Etienne"", ""teamFounded""=>""1928"", ""teamStadium""=>""Geoffroy-Guichard"", ""teamCapacity""=>41965, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=341""}",SAINT-ÉTIENNE,FRANCE,true,"[""PES21"",""FIFA23""]"
TIGRES UANL,false,"{""teamAbbr""=>""TIG"", ""teamCity""=>""San Nicolás de los Garza"", ""teamName""=>""Tigres UANL"", ""teamFounded""=>""1960"", ""teamStadium""=>""Universitario"", ""teamCapacity""=>43257, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=450""}",TIGRES UANL,MEXICO,true,"[""FIFA23""]"
